duplicateType,reviewStatus,similarity,questionIdA,topicA,questionA,sourceLinesA,questionIdB,topicB,questionB,sourceLinesB,notes
exact,merged_by_exact_text,1.000,import_q051,UX/UI Design,Why do all websites look exactly the same now? It is just big pictures and large text everywhere.,106-108,import_q051,UX/UI Design,Why do all websites look exactly the same now? It is just big pictures and large text everywhere.,213-215,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q052,Software/Coding,I am trying to learn Python but I am so lost. Where do I actually start without getting confused?,109-111,import_q052,Software/Coding,I am trying to learn Python but I am so lost. Where do I actually start without getting confused?,216-218,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q053,Productivity Tools,Is Notion actually better than just using a simple paper notebook? It looks like too much work.,112-115,import_q053,Productivity Tools,Is Notion actually better than just using a simple paper notebook? It looks like too much work.,219-222,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q054,Hardware/Gifts,My budget is 50 dollars. What is the absolute best computer mouse I can get for my office job?,116-117,import_q054,Hardware/Gifts,My budget is 50 dollars. What is the absolute best computer mouse I can get for my office job?,223-224,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q055,Cybersecurity/Privacy,Should I really be worried about my phone listening to me? I talked about shoes and now I see shoe ads everywhere.,118-121,import_q055,Cybersecurity/Privacy,Should I really be worried about my phone listening to me? I talked about shoes and now I see shoe ads everywhere.,225-228,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q056,AI,Will ChatGPT actually take my job or is it just hype? I work in answering customer service emails.,122,import_q056,AI,Will ChatGPT actually take my job or is it just hype? I work in answering customer service emails.,229,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q057,UX/UI Design,Why do websites hide the menu behind those three little horizontal lines? I can never find anything.,123-124,import_q057,UX/UI Design,Why do websites hide the menu behind those three little horizontal lines? I can never find anything.,230-231,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q058,Hardware/Gifts,I spilled a whole glass of water on my laptop keyboard. I turned it off. What do I do right now?!,125-127,import_q058,Hardware/Gifts,I spilled a whole glass of water on my laptop keyboard. I turned it off. What do I do right now?!,232-234,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q059,Productivity Tools,I have 500 unread emails and the number keeps growing. How do I fix this without deleting everything?,128-130,import_q059,Productivity Tools,I have 500 unread emails and the number keeps growing. How do I fix this without deleting everything?,235-237,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q060,Software/Coding,What is the best programming language to learn if I want to make a simple iPhone game?,131-132,import_q060,Software/Coding,What is the best programming language to learn if I want to make a simple iPhone game?,238-239,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q061,Cybersecurity/Privacy,I clicked a link in a random text message about a package delivery. Did I just ruin my phone?,133-134,import_q061,Cybersecurity/Privacy,I clicked a link in a random text message about a package delivery. Did I just ruin my phone?,240-241,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q062,AI,How does an AI actually generate a picture from just a few words? It feels like magic.,135-136,import_q062,AI,How does an AI actually generate a picture from just a few words? It feels like magic.,242-243,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q063,UX/UI Design,Dark mode is actually terrible for reading long articles. Am I the only one who thinks this?,137-139,import_q063,UX/UI Design,Dark mode is actually terrible for reading long articles. Am I the only one who thinks this?,244-246,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q064,Hardware/Gifts,What is the difference between a cheap 5 dollar TV cable and an expensive 50 dollar one?,140-141,import_q064,Hardware/Gifts,What is the difference between a cheap 5 dollar TV cable and an expensive 50 dollar one?,247-248,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q065,Productivity Tools,I need a simple app to share a grocery list with my wife. What do you all use?,142-144,import_q065,Productivity Tools,I need a simple app to share a grocery list with my wife. What do you all use?,249-251,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q066,Software/Coding,Learning to code is a total waste of time now that AI can write it for you. Right?,145-146,import_q066,Software/Coding,Learning to code is a total waste of time now that AI can write it for you. Right?,252-253,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q067,Cybersecurity/Privacy,What is the easiest password manager for someone who is terrible with computers?,147-148,import_q067,Cybersecurity/Privacy,What is the easiest password manager for someone who is terrible with computers?,254-255,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q068,UX/UI Design,I have to build a website for my mom's bakery by Friday and I have no clue where to start. Help!,149-150,import_q068,UX/UI Design,I have to build a website for my mom's bakery by Friday and I have no clue where to start. Help!,256-257,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q069,AI,I want to use AI to help me write better business emails. Is there a free tool that is good?,151-152,import_q069,AI,I want to use AI to help me write better business emails. Is there a free tool that is good?,258-259,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q070,Hardware/Gifts,I want to buy my dad a tablet just for reading the morning news. iPad or a cheap Amazon tablet?,153-155,import_q070,Hardware/Gifts,I want to buy my dad a tablet just for reading the morning news. iPad or a cheap Amazon tablet?,260-262,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q071,Productivity Tools,Why does my work chat always send me notifications even when I set my status to away?,156,import_q071,Productivity Tools,Why does my work chat always send me notifications even when I set my status to away?,263,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q072,Software/Coding,I have been staring at this error message for two hours. It says syntax error but everything looks right!,157-158,import_q072,Software/Coding,I have been staring at this error message for two hours. It says syntax error but everything looks right!,264-265,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q073,Cybersecurity/Privacy,I actually do not care if big companies have my data. I like getting ads for things I want. Is that wrong?,159-160,import_q073,Cybersecurity/Privacy,I actually do not care if big companies have my data. I like getting ads for things I want. Is that wrong?,266-267,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q074,UX/UI Design,Infinite scrolling is the worst thing to happen to the internet. I miss pages with numbers at the bottom.,161-162,import_q074,UX/UI Design,Infinite scrolling is the worst thing to happen to the internet. I miss pages with numbers at the bottom.,268-269,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q075,Hardware/Gifts,My phone battery dies by two in the afternoon every single day and it is only a year old. Why?,163-164,import_q075,Hardware/Gifts,My phone battery dies by two in the afternoon every single day and it is only a year old. Why?,270-271,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q076,AI,My teacher uses an AI checker for homework. I wrote my paper myself but I am scared it will flag me as fake.,165-166,import_q076,AI,My teacher uses an AI checker for homework. I wrote my paper myself but I am scared it will flag me as fake.,272-273,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q077,Productivity Tools,Do normal people actually use Trello for their personal lives? It looks like it is just for office project managers.,167-168,import_q077,Productivity Tools,Do normal people actually use Trello for their personal lives? It looks like it is just for office project managers.,274-275,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q078,Software/Coding,"What actually happens when a website goes down? Like, where did it go?",169-170,import_q078,Software/Coding,"What actually happens when a website goes down? Like, where did it go?",276-277,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q079,Cybersecurity/Privacy,I hate that I have to make an account just to read a single news article online. Why do they do this?,171-172,import_q079,Cybersecurity/Privacy,I hate that I have to make an account just to read a single news article online. Why do they do this?,278-279,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q080,Hardware/Gifts,Mechanical keyboards are way too loud and annoying. Why do people pay so much money for them?,173-174,import_q080,Hardware/Gifts,Mechanical keyboards are way too loud and annoying. Why do people pay so much money for them?,280-281,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q081,AI,AI art looks entirely soulless and weird to me. People keep posting it and I can always tell it is fake.,175-176,import_q081,AI,AI art looks entirely soulless and weird to me. People keep posting it and I can always tell it is fake.,282-283,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q082,Productivity Tools,What is the best calendar app that works perfectly on both a Mac and a Windows computer?,177-178,import_q082,Productivity Tools,What is the best calendar app that works perfectly on both a Mac and a Windows computer?,284-285,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q083,UX/UI Design,Why do pop-ups ask for my email the very second I open a store website? It makes me want to leave immediately.,179-180,import_q083,UX/UI Design,Why do pop-ups ask for my email the very second I open a store website? It makes me want to leave immediately.,286-287,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q084,Software/Coding,I accidentally uploaded a file with my email password to a public site. Am I going to get hacked right now?,181-182,import_q084,Software/Coding,I accidentally uploaded a file with my email password to a public site. Am I going to get hacked right now?,288-289,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q085,Hardware/Gifts,"Does anyone actually need 32 gigabytes of memory for a normal computer, or is the store trying to trick me?",183-184,import_q085,Hardware/Gifts,"Does anyone actually need 32 gigabytes of memory for a normal computer, or is the store trying to trick me?",290-291,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q086,Cybersecurity/Privacy,How do I know if an email from my bank is actually real or if it is a scam trying to trick me?,185-186,import_q086,Cybersecurity/Privacy,How do I know if an email from my bank is actually real or if it is a scam trying to trick me?,292-293,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q087,Productivity Tools,Too many productivity apps actually make you less productive because you waste time checking them.,187-188,import_q087,Productivity Tools,Too many productivity apps actually make you less productive because you waste time checking them.,294-295,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q088,UX/UI Design,I just opened a new design app and there are way too many buttons. Where do I even click first without messing up?,189,import_q088,UX/UI Design,I just opened a new design app and there are way too many buttons. Where do I even click first without messing up?,296,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q089,AI,ChatGPT keeps giving me completely fake links when I ask it to find articles for me. Why is it lying?,190-191,import_q089,AI,ChatGPT keeps giving me completely fake links when I ask it to find articles for me. Why is it lying?,297-298,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q090,Software/Coding,Why do programmers care so much about using tabs versus using spaces? It seems so silly to fight over.,192-193,import_q090,Software/Coding,Why do programmers care so much about using tabs versus using spaces? It seems so silly to fight over.,299-300,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q091,Hardware/Gifts,Why do home printers still suck so much? It always says offline when I just want to print one single page.,194-195,import_q091,Hardware/Gifts,Why do home printers still suck so much? It always says offline when I just want to print one single page.,301-302,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q092,Productivity Tools,I lost my phone and my authentication app was on it. Am I locked out of my accounts forever?,196-197,import_q092,Productivity Tools,I lost my phone and my authentication app was on it. Am I locked out of my accounts forever?,303-304,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q093,Cybersecurity/Privacy,Should I put a piece of tape over my laptop camera? I see people do it but it looks so ugly.,198-199,import_q093,Cybersecurity/Privacy,Should I put a piece of tape over my laptop camera? I see people do it but it looks so ugly.,305-306,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q094,UX/UI Design,What does UX even mean? Isn't it just making things look pretty with nice colors?,200,import_q094,UX/UI Design,What does UX even mean? Isn't it just making things look pretty with nice colors?,307,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q095,Hardware/Gifts,Curved monitors are a total gimmick and just look weird on a desk. Tell me I am wrong.,201-202,import_q095,Hardware/Gifts,Curved monitors are a total gimmick and just look weird on a desk. Tell me I am wrong.,308-309,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q096,Software/Coding,Is math actually important for coding? I am terrible at math but I want to build websites.,203-204,import_q096,Software/Coding,Is math actually important for coding? I am terrible at math but I want to build websites.,310-311,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q097,Productivity Tools,Why is everyone so obsessed with the Pomodoro timer thing? It is just a kitchen clock.,205-206,import_q097,Productivity Tools,Why is everyone so obsessed with the Pomodoro timer thing? It is just a kitchen clock.,312-313,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q098,Cybersecurity/Privacy,I use the same password for everything but I change the last number. Is that bad?,207,import_q098,Cybersecurity/Privacy,I use the same password for everything but I change the last number. Is that bad?,314,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q099,Hardware/Gifts,I bought a new graphics card for gaming and it literally does not fit inside my computer case. What do I do?,208-209,import_q099,Hardware/Gifts,I bought a new graphics card for gaming and it literally does not fit inside my computer case. What do I do?,315-316,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
exact,merged_by_exact_text,1.000,import_q100,AI,Will learning to use AI make me lazy? I feel like I am cheating when I use it to write cover letters.,210-211,import_q100,AI,Will learning to use AI make me lazy? I feel like I am cheating when I use it to write cover letters.,317-318,Exact same question text appears in multiple source blocks. One generated questionId was used; all valid answer text was preserved with fresh answerIds.
near,manual_review,0.670,import_q001,UX/UI Design,Why do all websites look exactly the same now with massive text and boring colors?,2-3,import_q051,UX/UI Design,Why do all websites look exactly the same now? It is just big pictures and large text everywhere.,106-108;213-215,Near duplicate candidate only. Both questions remain in cleaned_import.csv with separate generated questionIds.
near,manual_review,0.897,import_q002,Software/Coding,"I am trying to learn Python but I am so lost, where do I actually start?",4-6,import_q052,Software/Coding,I am trying to learn Python but I am so lost. Where do I actually start without getting confused?,109-111;216-218,Near duplicate candidate only. Both questions remain in cleaned_import.csv with separate generated questionIds.
near,manual_review,0.718,import_q003,Productivity Tools,Is Notion actually better than just using a simple notebook? I feel like learning it is a full-time job.,7-8,import_q053,Productivity Tools,Is Notion actually better than just using a simple paper notebook? It looks like too much work.,112-115;219-222,Near duplicate candidate only. Both questions remain in cleaned_import.csv with separate generated questionIds.
near,manual_review,0.812,import_q004,Hardware/Gifts,"My budget is $50, what is the best mouse I can get for my office? My hand is cramping.",9,import_q054,Hardware/Gifts,My budget is 50 dollars. What is the absolute best computer mouse I can get for my office job?,116-117;223-224,Near duplicate candidate only. Both questions remain in cleaned_import.csv with separate generated questionIds.
near,manual_review,0.804,import_q005,Cybersecurity/Privacy,Should I really be worried about my phone listening to me? I talked about dog food and saw an ad for it!,10-13,import_q055,Cybersecurity/Privacy,Should I really be worried about my phone listening to me? I talked about shoes and now I see shoe ads everywhere.,118-121;225-228,Near duplicate candidate only. Both questions remain in cleaned_import.csv with separate generated questionIds.
near,manual_review,0.677,import_q006,AI,Will ChatGPT actually take my job or is it just hype? I am an office assistant and I am freaking out.,14,import_q056,AI,Will ChatGPT actually take my job or is it just hype? I work in answering customer service emails.,122;229,Near duplicate candidate only. Both questions remain in cleaned_import.csv with separate generated questionIds.
near,manual_review,0.701,import_q050,Software/Coding,Why do programmers argue so much about using the tab key versus the space bar?,104-105,import_q090,Software/Coding,Why do programmers care so much about using tabs versus using spaces? It seems so silly to fight over.,192-193;299-300,Near duplicate candidate only. Both questions remain in cleaned_import.csv with separate generated questionIds.
